Location,Month,T_avg_min,T_avg_max,H_min,H_max,P_min,P_max,T_avg_range,H_range,P_range
Adelaide,1,15.580000000000002,29.415,48.0,50.0,1009.26,1013.52,13.834999999999997,2.0,4.259999999999991
Adelaide,2,17.15,24.32,64.0,81.0,1012.64,1013.35,7.170000000000002,17.0,0.7100000000000364
Adelaide,3,17.400000000000002,29.619999999999997,33.0,49.0,1007.49,1017.67,12.219999999999995,16.0,10.17999999999995
Adelaide,4,11.55,22.665,56.99999999999999,80.0,1016.69,1022.87,11.114999999999998,23.000000000000007,6.17999999999995
Adelaide,5,12.915,18.05,66.0,83.0,1005.74,1013.22,5.135000000000002,17.0,7.480000000000018
Adelaide,6,5.9350000000000005,13.245000000000001,67.0,78.0,1029.23,1032.56,7.3100000000000005,11.0,3.3299999999999272
Adelaide,7,6.6,16.04,69.0,72.0,1020.01,1033.6,9.44,3.0,13.589999999999918
Adelaide,8,7.34,14.805,74.0,78.0,1028.73,1029.58,7.465,4.0,0.849999999999909
Adelaide,9,10.72,20.994999999999997,46.0,72.0,1020.04,1020.09,10.274999999999997,26.0,0.05000000000006821
Adelaide,10,11.35,21.585,41.0,68.0,1011.49,1028.43,10.235000000000001,27.0,16.940000000000055
Adelaide,11,10.825,21.695,51.0,61.0,1019.27,1022.64,10.870000000000001,10.0,3.3700000000000045
Adelaide,12,12.415,22.975,40.0,62.0,1010.28,1016.86,10.560000000000002,22.0,6.580000000000041
Beijing,1,-5.755,6.165,31.0,47.0,1019.78,1029.58,11.92,16.0,9.799999999999955
Beijing,2,-6.09,7.390000000000001,46.0,86.0,1021.2,1024.58,13.48,40.0,3.3799999999998818
Beijing,3,-0.4849999999999999,11.335,18.0,48.0,1014.42,1026.34,11.82,30.0,11.919999999999959
Beijing,4,8.89,20.405,21.0,31.0,1011.8,1016.63,11.515,10.0,4.830000000000041
Beijing,5,11.895,24.9,45.0,62.0,1005.71,1009.59,13.004999999999999,17.0,3.8799999999999955
Beijing,6,18.895,31.905,52.0,79.0,997.69,1004.23,13.010000000000002,27.0,6.539999999999964
Beijing,7,21.395,33.405,71.0,78.0,997.51,1002.82,12.010000000000002,7.0,5.310000000000059
Beijing,8,22.515,29.92,67.0,87.0,1001.64,1007.34,7.405000000000001,20.0,5.7000000000000455
Beijing,9,15.955000000000002,24.865,75.0,86.0,1014.0,1014.44,8.909999999999997,11.0,0.44000000000005457
Beijing,10,5.3950000000000005,18.895,32.0,48.0,1015.11,1031.57,13.5,16.0,16.459999999999923
Beijing,11,5.16,10.51,47.0,64.0,1026.8,1027.75,5.35,17.0,0.9500000000000455
Beijing,12,-2.5949999999999998,2.8899999999999997,41.0,96.0,1023.85,1027.32,5.484999999999999,55.0,3.4699999999999136
Buenos Aires,1,21.025,33.235,64.0,76.0,1004.68,1010.59,12.21,12.0,5.910000000000082
Buenos Aires,2,16.735,25.095,67.0,70.0,1012.43,1013.88,8.36,3.0,1.4500000000000455
Buenos Aires,3,15.754999999999999,25.93,60.0,73.0,1015.64,1016.77,10.175,13.0,1.1299999999999955
Buenos Aires,4,10.235,20.04,64.0,80.0,1008.46,1023.21,9.805,16.0,14.75
Buenos Aires,5,8.81,18.325,60.0,77.0,1013.44,1027.02,9.514999999999999,17.0,13.579999999999927
Buenos Aires,6,3.675,11.825,52.0,56.99999999999999,1015.95,1025.51,8.149999999999999,4.999999999999993,9.559999999999945
Buenos Aires,7,5.365,10.535,79.0,83.0,1009.95,1014.51,5.17,4.0,4.559999999999945
Buenos Aires,8,8.355,15.765,54.0,80.0,1021.66,1025.18,7.41,26.0,3.5200000000000955
Buenos Aires,9,14.68,20.689999999999998,71.0,79.0,1011.94,1019.51,6.009999999999998,8.0,7.569999999999936
Buenos Aires,10,15.68,22.799999999999997,54.0,74.0,1012.02,1015.45,7.119999999999997,20.0,3.4300000000000637
Buenos Aires,11,15.65,23.055,52.0,66.0,1014.82,1015.0,7.404999999999999,14.0,0.17999999999994998
Buenos Aires,12,19.36,27.740000000000002,43.0,70.0,1010.96,1015.07,8.380000000000003,27.0,4.110000000000014
Cape Town,1,17.285,24.77,60.0,63.0,1011.46,1012.44,7.484999999999999,3.0,0.9800000000000182
Cape Town,2,17.705,27.884999999999998,32.0,72.0,1013.18,1015.78,10.18,40.0,2.6000000000000227
Cape Town,3,17.445,25.549999999999997,70.0,73.0,1014.58,1016.3,8.104999999999997,3.0,1.7199999999999136
Cape Town,4,13.780000000000001,23.555,69.0,72.0,1018.94,1021.65,9.774999999999999,3.0,2.7099999999999227
Cape Town,5,13.94,19.365000000000002,69.0,87.0,1014.87,1017.91,5.4250000000000025,18.0,3.0399999999999636
Cape Town,6,6.75,14.945,71.0,71.0,1024.5,1029.78,8.195,0.0,5.279999999999973
Cape Town,7,10.094999999999999,23.71,61.0,74.0,1018.71,1023.65,13.615000000000002,13.0,4.939999999999941
Cape Town,8,9.705,15.959999999999999,65.0,71.0,1012.53,1031.85,6.254999999999999,6.0,19.319999999999936
Cape Town,9,13.954999999999998,19.990000000000002,64.0,76.0,1012.36,1016.76,6.035000000000004,12.0,4.399999999999977
Cape Town,10,14.27,23.450000000000003,56.00000000000001,67.0,1013.15,1020.83,9.180000000000003,10.999999999999993,7.680000000000064
Cape Town,11,12.68,23.630000000000003,61.0,63.0,1008.45,1020.42,10.950000000000003,2.0,11.969999999999914
Cape Town,12,17.34,25.134999999999998,62.0,80.0,1013.65,1015.44,7.794999999999998,18.0,1.7900000000000773
Katoomba,1,14.870000000000001,24.244999999999997,82.0,99.0,1011.74,1012.36,9.374999999999996,17.0,0.6200000000000045
Katoomba,2,13.870000000000001,21.915,67.0,100.0,1001.37,1006.69,8.044999999999998,33.0,5.32000000000005
Katoomba,3,11.05,19.92,74.0,100.0,1009.67,1015.91,8.870000000000001,26.0,6.240000000000009
Katoomba,4,7.960000000000001,13.370000000000001,89.0,99.0,1006.79,1020.98,5.41,10.0,14.190000000000055
Katoomba,5,3.755,15.715,84.0,94.0,1012.39,1029.54,11.96,10.0,17.149999999999977
Katoomba,6,-0.765,10.56,86.0,99.0,1027.62,1030.86,11.325000000000001,13.0,3.240000000000009
Katoomba,7,0.9450000000000003,14.455,84.0,98.0,1015.2,1023.49,13.51,14.0,8.289999999999964
Katoomba,8,2.085,15.969999999999999,69.0,78.0,1013.97,1022.79,13.884999999999998,9.0,8.819999999999936
Katoomba,9,5.1,19.085,72.0,84.0,1010.54,1024.0,13.985000000000001,12.0,13.460000000000036
Katoomba,10,5.5200000000000005,24.95,57.99999999999999,87.0,1020.06,1021.17,19.43,29.000000000000007,1.1100000000000136
Katoomba,11,9.149999999999999,16.42,91.0,95.0,1015.11,1019.72,7.270000000000003,4.0,4.610000000000014
Katoomba,12,14.665,26.810000000000002,74.0,80.0,1013.82,1014.63,12.145000000000003,6.0,0.8099999999999454
London,1,-0.77,8.01,79.0,90.0,1000.08,1017.07,8.78,11.0,16.99000000000001
London,2,2.135,6.4350000000000005,80.0,83.0,1012.79,1015.06,4.300000000000001,3.0,2.269999999999982
London,3,4.655,12.844999999999999,71.0,82.0,1025.19,1034.43,8.189999999999998,11.0,9.240000000000009
London,4,4.28,13.7,61.0,68.0,1021.44,1024.87,9.419999999999998,7.0,3.4299999999998363
London,5,11.195,22.875,64.0,73.0,1006.8,1031.68,11.68,9.0,24.88000000000011
London,6,12.39,23.56,56.00000000000001,79.0,1017.71,1023.21,11.169999999999998,22.999999999999993,5.5
London,7,15.420000000000002,24.03,69.0,82.0,1008.88,1020.3,8.61,13.0,11.419999999999959
London,8,12.905000000000001,18.715,83.0,91.0,1013.24,1021.38,5.809999999999999,8.0,8.139999999999986
London,9,12.32,18.990000000000002,76.0,78.0,1021.78,1022.61,6.670000000000002,2.0,0.8300000000000409
London,10,9.875,15.794999999999998,76.0,76.0,996.36,1005.47,5.919999999999998,0.0,9.110000000000014
London,11,6.625,11.395,86.0,91.0,1014.74,1026.44,4.77,5.0,11.700000000000045
London,12,3.115,7.51,78.0,81.0,1022.25,1026.66,4.395,3.0,4.410000000000082
Los Angeles,1,12.465,22.33,36.0,83.0,1018.91,1022.37,9.864999999999998,47.0,3.4600000000000364
Los Angeles,2,10.665,20.11,64.0,65.0,1015.38,1019.97,9.445,1.0,4.590000000000032
